trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.022082248004153,None,space,8.027276970969979,14.022082248004153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cal,001,2022-05-17_13h11.33.711,Trial_Exp,2022.1.2,None,
0,0,0,0,,,,,,,14.02483613010845,15.02627463702811,14.022082248004153,None,22.07011091604363,None,22.06787901664502,None,27.07994021102786,None,27.080224516644375,None,31.07008900900837,None,31.079770258645294,None,35.081856973003596,None,35.08197554860381,None,rshift,0,2.4994938260060735,35.081856973003596,None,37.59977316099685,None,37.600555622618415,38.59984830603935,,,,,,,,cal,001,2022-05-17_13h11.33.711,Trial_Exp,2022.1.2,None,
1,0,1,0,,,,,,,,,,,44.60169550898718,None,44.6015481476381,None,49.60285643901443,None,49.6028078916308,None,53.60422205302166,None,53.6041799766419,None,57.60554254800081,None,57.6056019676209,None,lshift,0,4.724824485951103,57.60554254800081,None,62.35697980003897,None,62.3568879786355,63.35705512901768,,,,,,,,cal,001,2022-05-17_13h11.33.711,Trial_Exp,2022.1.2,None,
2,0,2,0,,,,,,,,,,,69.35860462998971,None,69.35859358562739,None,74.3599873080384,None,74.36267943763524,None,78.3623075740179,None,78.36312098261551,None,82.36451819603099,None,82.36331358862226,None,lshift,1,5.8618374390061945,82.36451819603099,None,88.24759318103315,None,88.24757242559572,89.24762293201638,,,,,,,,cal,001,2022-05-17_13h11.33.711,Trial_Exp,2022.1.2,None,
3,0,3,0,,,,,,,,,,,95.24915508902632,None,95.24936030562385,None,100.23902295302832,None,100.24994099060423,None,104.25231930299196,None,104.25399195660721,None,108.25333762803348,None,108.25334124460933,None,rshift,1,3.0210082979756407,108.25333762803348,None,111.30462433502544,None,111.30451103260857,112.30462621303741,,,,,,,,cal,001,2022-05-17_13h11.33.711,Trial_Exp,2022.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.30750843900023,None,space,0,2.8168292390182614,118.30750843900023,None,cal,001,2022-05-17_13h11.33.711,Trial_Exp,2022.1.2,None,
