trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_6.started,text_6.stopped,button_2.started,button_2.stopped,button_2.numClicks,button_2.timesOn,button_2.timesOff,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,text_4.started,text_4.stopped,button.started,button.stopped,button.numClicks,button.timesOn,button.timesOff,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,14.859889965999173,None,14.859889965999173,None,0,,,space,5.654224758000055,15.850377761002164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,",..",001,2022-05-11_18h41.17.455,Trial_Exp,2022.1.2,60.00400586719864,
,,,,,,,,,,,,,,,21.53542193499743,None,36.532859380000446,None,36.532859380000446,None,0,,,space,6.119593039002211,37.49798709999595,None,,,,,,,,,,,,,,,",..",001,2022-05-11_18h41.17.455,Trial_Exp,2022.1.2,60.00400586719864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.642052509996574,None,space,4.4305603460015845,43.642052509996574,None,,,,,,,,,",..",001,2022-05-11_18h41.17.455,Trial_Exp,2022.1.2,60.00400586719864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6423118338018,44.64271264200215,43.642052509996574,None,48.09510242199758,None,48.09343398380152,None,,,,,,,
