trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.793902033001359,None,space,15.687078776005364,10.793902033001359,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cal,001,2022-05-21_15h44.18.413,Trial_Exp,2022.1.2,60.007829101717256,
0,0,0,0,,,,,,,10.797617451871337,11.797934811998857,10.793902033001359,None,26.50445259299886,None,26.502508816304907,None,31.503723009998794,None,31.503812126301636,None,35.50431829700392,None,35.504272498302456,None,39.505646659003105,None,39.50557048530318,None,lshift,1,1.3253888799954439,39.505646659003105,None,40.85571991100005,None,40.855852500298354,41.859766216002754,cal,001,2022-05-21_15h44.18.413,Trial_Exp,2022.1.2,60.007829101717256,
1,0,1,0,,,,,,,,,,,47.86048832099914,None,47.86005855130061,None,52.86051122999925,None,52.86051054330456,None,56.86211633000494,None,56.8609517163015,None,60.86137267700542,None,60.86138543630223,None,lshift,0,0.9066181020025397,60.86137267700542,None,61.79570842500107,None,61.795682153303645,62.795863275001466,cal,001,2022-05-21_15h44.18.413,Trial_Exp,2022.1.2,60.007829101717256,
2,0,2,0,,,,,,,,,,,68.797440413,None,68.79743855130364,None,73.79899186100374,None,73.79895289529959,None,77.80034020000312,None,77.8001566933046,None,81.80152870299935,None,81.80150683630491,None,lshift,1,0.46045594199677,81.80152870299935,None,82.28491402399959,None,82.28490610630543,83.28507453999919,cal,001,2022-05-21_15h44.18.413,Trial_Exp,2022.1.2,60.007829101717256,
3,0,3,0,,,,,,,,,,,89.28662225800508,None,89.28664648830018,None,94.28820062100567,None,94.28808718129876,None,98.28934046900395,None,98.2893402133006,None,102.29067166800087,None,102.29060934730224,None,lshift,0,0.6103132959979121,102.29067166800087,None,102.92410978000407,None,102.92402315030195,103.92423327999859,cal,001,2022-05-21_15h44.18.413,Trial_Exp,2022.1.2,60.007829101717256,
