trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,13.605455717999575,None,space,13.726675484002044,13.605455717999575,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cal,001,2022-05-21_13h19.27.094,Trial_Exp,2022.1.2,59.990072362700644,
0,0,0,0,,,,,,,13.606670018791919,14.607007440001325,13.605455717999575,None,27.36058380400209,None,27.360258497601173,None,32.36177016500005,None,32.36183704960204,None,36.36308549900059,None,36.3630271136004,None,40.36425464599961,None,40.364319455600345,None,lshift,1,2.409875388999353,40.36425464599961,None,42.79823616499925,None,42.79806671659899,43.785239959001046,,,,,,,,cal,001,2022-05-21_13h19.27.094,Trial_Exp,2022.1.2,59.990072362700644,
1,0,1,0,,,,,,,,,,,49.80046706899884,None,49.80034237660002,None,54.80187131600178,None,54.80192188459987,None,58.7907985310012,None,58.80145792659969,None,62.787685185001465,None,62.792563615601104,None,lshift,0,1.3354391499997291,62.787685185001465,None,64.13067415800106,None,64.140150592602,65.15482198500104,,,,,,,,cal,001,2022-05-21_13h19.27.094,Trial_Exp,2022.1.2,59.990072362700644,
2,0,2,0,,,,,,,,,,,71.14071863199933,None,71.13953237460154,None,76.14110889299991,None,76.14115863460174,None,80.14253727699906,None,80.14236648160076,None,84.14300654600083,None,84.14294489960011,None,lshift,1,0.9441195580002386,84.14300654600083,None,85.1104420920019,None,85.1105580435993,86.11073136100094,,,,,,,,cal,001,2022-05-21_13h19.27.094,Trial_Exp,2022.1.2,59.990072362700644,
3,0,3,0,,,,,,,,,,,92.11218536999877,None,92.11231815259961,None,97.1138184320007,None,97.11594644259966,None,101.12106174799919,None,101.11498275759877,None,105.1163654109987,None,105.11797391159925,None,lshift,0,0.7317615790016134,105.1163654109987,None,105.86649522999869,None,105.86639396759855,106.86644684199928,,,,,,,,cal,001,2022-05-21_13h19.27.094,Trial_Exp,2022.1.2,59.990072362700644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.86780729200109,None,space,0,2.5853203870028665,112.86780729200109,None,cal,001,2022-05-21_13h19.27.094,Trial_Exp,2022.1.2,59.990072362700644,
