trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.594954906962812,None,space,15.511377116956282,11.594954906962812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cal,001,2022-05-17_14h14.02.244,Trial_Exp,2022.1.2,60.03051098063022,
0,0,0,0,,,,,,,11.586540872824845,12.599920358974487,11.594954906962812,None,27.141025715973228,None,27.139555988670327,None,32.1290997719625,None,32.139805770665404,None,36.14024116494693,None,36.14011198865482,None,40.12948185898131,None,40.13995969069656,None,rshift,0,16.039844070968684,40.12948185898131,None,56.196132455952466,None,56.19611383969895,57.1962512669852,,,,,,,,cal,001,2022-05-17_14h14.02.244,Trial_Exp,2022.1.2,60.03051098063022,
1,0,1,0,,,,,,,,,,,63.197682073980104,None,63.19828386669978,None,68.19918674195651,None,68.1992432426894,None,72.20049679395743,None,72.20049140766496,None,76.20179569994798,None,76.20305897168582,None,lshift,0,1.0235225930227898,76.20179569994798,None,77.25192427396541,None,77.25202551869442,78.2519744009478,,,,,,,,cal,001,2022-05-17_14h14.02.244,Trial_Exp,2022.1.2,60.03051098063022,
2,0,2,0,,,,,,,,,,,84.25368699600222,None,84.25371333369985,None,89.25665989494883,None,89.2567884086864,None,93.25667939998675,None,93.25693494967418,None,97.25765099399723,None,97.25764789264649,None,lshift,1,2.0446636279812083,97.25765099399723,None,99.32445390400244,None,99.3245445316541,100.3247006929596,,,,,,,,cal,001,2022-05-17_14h14.02.244,Trial_Exp,2022.1.2,60.03051098063022,
3,0,3,0,,,,,,,,,,,106.32700443698559,None,106.32804090466816,None,111.32862967299297,None,111.32864916966064,None,115.32911548699485,None,115.32907677169423,None,119.32953384297434,None,119.3305207806523,None,lshift,0,1.5857836829964072,119.32953384297434,None,120.94804092595587,None,120.94802113868063,121.94823328597704,,,,,,,,cal,001,2022-05-17_14h14.02.244,Trial_Exp,2022.1.2,60.03051098063022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.95130842697108,None,space,0,3.6130036340327933,127.95130842697108,None,cal,001,2022-05-17_14h14.02.244,Trial_Exp,2022.1.2,60.03051098063022,
