trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.462244371999986,None,space,22.41533627100216,9.462244371999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cal,001,2022-05-21_14h06.08.200,Trial_Exp,2022.1.2,60.069175061121214,
0,0,0,0,,,,,,,9.467144426536834,10.468559077999089,9.462244371999986,None,31.91031742099949,None,31.909916390697617,None,36.89903275799952,None,36.90951913470053,None,40.91051710600004,None,40.91056685569856,None,44.910870591000275,None,44.910923017698224,None,lshift,1,0.5197075129981386,44.910870591000275,None,45.46199179099858,None,45.46190451069924,46.4619925549996,,,,,,,,cal,001,2022-05-21_14h06.08.200,Trial_Exp,2022.1.2,60.069175061121214,
1,0,1,0,,,,,,,,,,,52.46380161799971,None,52.46360598369938,None,57.46503413000028,None,57.46506294770006,None,61.46722377199694,None,61.46641438669758,None,65.4676765080003,None,65.46780904069965,None,lshift,0,0.6008959089995187,65.4676765080003,None,66.10105674700026,None,66.1010425516979,67.10455089699826,,,,,,,,cal,001,2022-05-21_14h06.08.200,Trial_Exp,2022.1.2,60.069175061121214,
2,0,2,0,,,,,,,,,,,73.10295350799788,None,73.10285165369714,None,78.10430792999978,None,78.1042212557004,None,82.10560048299885,None,82.1054507336994,None,86.10680929499722,None,86.10684133769973,None,lshift,1,0.5787638390029315,86.10680929499722,None,86.7070373969982,None,86.70690984869725,87.70732646399847,,,,,,,,cal,001,2022-05-21_14h06.08.200,Trial_Exp,2022.1.2,60.069175061121214,
3,0,3,0,,,,,,,,,,,93.71034755499932,None,93.7103506996973,None,98.71013850699819,None,98.7103632906983,None,102.71126410099896,None,102.71133358869702,None,106.71821111699683,None,106.71252883769921,None,lshift,0,0.4773698629978753,106.71821111699683,None,107.21600092099834,None,107.21274551070019,108.21303255899693,,,,,,,,cal,001,2022-05-21_14h06.08.200,Trial_Exp,2022.1.2,60.069175061121214,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.21536146200015,None,space,0,1.912210413000139,114.21536146200015,None,cal,001,2022-05-21_14h06.08.200,Trial_Exp,2022.1.2,60.069175061121214,
