trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,11.188297308999836,None,space,22.670302816000003,11.188297308999836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cal,001,2022-05-20_12h21.02.783,Trial_Exp,2022.1.2,60.0219286514664,
0,0,0,0,,,,,,,11.188148367001531,12.188657212999942,11.188297308999836,None,33.87898074999998,None,33.8774158341,None,38.878847769000004,None,38.8788189800998,None,42.88009818399996,None,42.88009380709989,None,46.88138617499999,None,46.88163524609988,None,rshift,0,4.689236638000011,46.88138617499999,None,51.588360806999844,None,51.59785418809995,52.58855299699985,,,,,,,,cal,001,2022-05-20_12h21.02.783,Trial_Exp,2022.1.2,60.0219286514664,
1,0,1,0,,,,,,,,,,,58.60100892399987,None,58.6010811761,None,63.60261630199989,None,63.602578408099795,None,67.60400295999989,None,67.60408695909993,None,71.5931199879999,None,71.6036581521,None,rshift,1,53.24748697600012,71.5931199879999,None,124.8699763579998,None,124.8704668051,125.87014399899999,,,,,,,,cal,001,2022-05-20_12h21.02.783,Trial_Exp,2022.1.2,60.0219286514664,
2,0,2,0,,,,,,,,,,,131.87273900399987,None,131.87263654609998,None,136.87402030599992,None,136.8740720081,None,140.86407620599994,None,140.87381591309983,None,144.875898194,None,144.8759913750998,None,rshift,0,6.093709648999948,144.875898194,None,150.9844500109998,None,150.9933626920999,151.99504446699984,,,,,,,,cal,001,2022-05-20_12h21.02.783,Trial_Exp,2022.1.2,60.0219286514664,
3,0,3,0,,,,,,,,,,,157.99656538199997,None,157.9966923050999,None,162.99801246799984,None,162.99791678209996,None,166.98876654299988,None,166.99991641309995,None,171.0008345079998,None,171.00093484309988,None,rshift,1,3.7977614339999946,171.0008345079998,None,174.81763879999994,None,174.8176358711,175.81780082299997,,,,,,,,cal,001,2022-05-20_12h21.02.783,Trial_Exp,2022.1.2,60.0219286514664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8220553709998,None,space,0,27.289552720000074,181.8220553709998,None,cal,001,2022-05-20_12h21.02.783,Trial_Exp,2022.1.2,60.0219286514664,
