trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,text_7.started,text_7.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,sound_31.started,sound_31.stopped,text_10.started,text_10.stopped,polygon_26.started,polygon_26.stopped,sound_26.started,sound_26.stopped,polygon_27.started,polygon_27.stopped,sound_27.started,sound_27.stopped,polygon_28.started,polygon_28.stopped,sound_28.started,sound_28.stopped,polygon_29.started,polygon_29.stopped,sound_29.started,sound_29.stopped,key_resp_10.keys,key_resp_10.corr,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,polygon_30.started,polygon_30.stopped,sound_30.started,sound_30.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,12.617208644999664,None,space,11.186544768000203,12.617208644999664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAL,001,2022-05-20_14h01.13.200,Trial_Exp,2022.1.2,60.00433099269682,
0,0,0,0,,,,,,,12.615747845599799,13.63100797199968,12.617208644999664,None,23.822718591999546,None,23.821942274700177,None,28.817902255999797,None,28.822745177699744,None,32.82037259399931,None,32.820311350699285,None,36.821460217000094,None,36.82149202970004,None,lshift,1,1.6352882239998507,36.821460217000094,None,38.470776463999755,None,38.47578326269968,39.48927779099995,,,,,,,,CAL,001,2022-05-20_14h01.13.200,Trial_Exp,2022.1.2,60.00433099269682,
1,0,1,0,,,,,,,,,,,45.47427174099994,None,45.474152177700034,None,50.47566609899968,None,50.47560826969993,None,54.47689490099947,None,54.476821224699506,None,58.46570963399972,None,58.47657243669937,None,lshift,0,1.5300409250003213,58.46570963399972,None,60.01520619099938,None,60.01326994869987,61.015541519999715,,,,,,,,CAL,001,2022-05-20_14h01.13.200,Trial_Exp,2022.1.2,60.00433099269682,
2,0,2,0,,,,,,,,,,,67.00388027600002,None,67.01408352269982,None,72.015682147,None,72.01479966570014,None,76.01692550200005,None,76.01619298169999,None,80.01752871999997,None,80.01741762269967,None,lshift,1,0.4792259710002327,80.01752871999997,None,80.51765411199995,None,80.51760818069988,81.51769409400003,,,,,,,,CAL,001,2022-05-20_14h01.13.200,Trial_Exp,2022.1.2,60.00433099269682,
3,0,3,0,,,,,,,,,,,87.51946844599934,None,87.51939485769935,None,92.52085451399944,None,92.52091599669939,None,96.52205889400011,None,96.52197754869985,None,100.52341807799985,None,100.52335517969959,None,lshift,0,0.5823435309994238,100.52341807799985,None,101.123567181,None,101.12360869770009,102.1235648289994,,,,,,,,CAL,001,2022-05-20_14h01.13.200,Trial_Exp,2022.1.2,60.00433099269682,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.12573519499983,None,space,0,2.6880127670001457,108.12573519499983,None,CAL,001,2022-05-20_14h01.13.200,Trial_Exp,2022.1.2,60.00433099269682,
