,pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
0,192.1013218500011,0,1,0.9218352437019348,0.6647383192019625,0.62193371922512,23.70637354267638,pye3d 0.3.0 real-time,127.6297572867768,72.58872590877698,20.841377542423665,23.70637354267638,26.66827157824082,2.922419842214594,0.1,,10.903210443120155,-1.682756211944421,47.558214022618735,10.392304845413264,5.014200384790782,-3.2630899066744887,39.1426269399372,-0.566670257072813,-0.1520676806769734,-0.8097902445958199,1.461209921107297,1.723456275113448,-2.18137067883881,161.03974223538663,85.86385330655162,147.3995953801013,147.3995953801013,0.0
1,192.1013218500011,0,1,0.9218352437019348,0.6647382179896036,0.6218889554341633,23.713298797607425,2d c++,127.6297378540039,72.59732055664062,20.685415267944336,23.713298797607425,28.734519958496087,,,,,,,,,,,,,,,,,,,,,
2,192.10230485000648,0,0,0.8497275710105896,0.2436918628021076,0.2411659722220238,29.13774382665909,pye3d 0.3.0 real-time,46.78883765800467,145.69613333337142,26.112082436315063,29.13774382665909,160.99270255651294,2.774240638708174,1.0,,-1.6981714470619431,4.659726457493234,40.48537261563936,10.392304845413264,-5.248284960841854,5.362985266874388,30.743600647136653,-0.3416098321390933,0.0676711104843641,-0.9374024447331644,1.387120319354087,1.5030734609735783,-1.9202608109467567,83.97900679666843,128.47084818904287,173.83765250506036,173.83765250506036,0.0
3,192.10230485000648,0,0,0.8497275710105896,0.2437266906102498,0.2412350177764892,29.118322372436523,2d c++,46.79552459716797,145.68287658691406,25.826744079589844,29.118322372436523,158.759292602539,,,,,,,,,,,,,,,,,,,,,
4,192.10939085000427,0,1,0.9103907942771912,0.6647861003875732,0.6221054792404175,23.68198585510254,2d c++,127.63893127441406,72.55574798583984,20.764467239379883,23.68198585510254,25.573045730590813,,,,,,,,,,,,,,,,,,,,,
5,192.10939085000427,0,1,0.9103907942771912,0.664775697894127,0.6220929295163993,23.68476136923573,pye3d 0.3.0 real-time,127.6369339956724,72.55815753285134,20.808474321811108,23.68476136923573,26.45144007491713,2.919753473522792,0.1,,10.903210443120155,-1.682756211944421,47.558214022618735,10.392304845413264,4.993579964415492,-3.24915347793364,39.154484659397525,-0.5686544579485592,-0.1507266471961282,-0.8086492350087547,1.4598767367613958,1.7220996031837317,-2.1836769058941674,161.03974223538663,85.86385330655162,147.3995953801013,147.3995953801013,0.0
6,192.11037484998812,0,0,0.87086421251297,0.2439635793368021,0.2416707674662271,29.043947219848636,2d c++,46.841007232666016,145.59921264648438,25.67591667175293,29.043947219848636,159.97843933105466,,,,,,,,,,,,,,,,,,,,,
7,192.11037484998812,0,0,0.87086421251297,0.2439025290679279,0.2416303650369083,29.05052680350505,pye3d 0.3.0 real-time,46.82928558104216,145.6069699129136,26.04641872180645,29.05052680350505,160.9854808272171,2.76590760028307,1.0,,-1.6981714470619431,4.659726457493234,40.48537261563936,10.392304845413264,-5.239697360876352,5.362477156242576,30.74043876993325,-0.3407834899471306,0.0676222175160217,-0.9377066965089188,1.382953800141535,1.5031224661961866,-1.9193782214508592,83.97900679666843,128.47084818904287,173.83765250506036,173.83765250506036,0.0
8,192.11745985000744,1,1,0.8785563111305237,0.6652073462804159,0.6219254732131958,23.52718162536621,2d c++,127.71981048583984,72.5903091430664,20.610353469848636,23.52718162536621,29.731815338134744,,,,,,,,,,,,,,,,,,,,,
9,192.11745985000744,1,1,0.8785563111305237,0.665223958129623,0.6219793595708554,23.5177012917594,pye3d 0.3.0 real-time,127.72299996088762,72.57996296239577,20.668142689912003,23.5177012917594,26.73121057768177,2.8984491361316294,0.1,,10.903210443120155,-1.682756211944421,47.558214022618735,10.392304845413264,5.0078596341496615,-3.271564435134138,39.14866425648407,-0.5672803960877323,-0.1528831425582123,-0.8092093035402342,1.449224568065815,1.7242813848089873,-2.1822135616963325,161.03974223538663,85.86385330655162,147.3995953801013,147.3995953801013,0.0
10,192.1184438499913,1,0,0.927742838859558,0.2440259284279116,0.2416439710934993,29.138281376175183,pye3d 0.3.0 real-time,46.85297825815904,145.60435755004812,26.108719981887244,29.138281376175183,160.61704000648345,2.7743243982373045,1.0,,-1.6981714470619431,4.659726457493234,40.48537261563936,10.392304845413264,-5.244944567759914,5.39708063262679,30.74490500619126,-0.3412884026649171,0.0709519385835754,-0.9372769327246148,1.3871621991186522,1.4997847221694778,-1.9200011300699484,83.97900679666843,128.47084818904287,173.83765250506036,173.83765250506036,0.0
11,192.1184438499913,1,0,0.927742838859558,0.2441082000732422,0.2417155901590982,29.12449836730957,2d c++,46.8687744140625,145.59060668945312,25.565401077270508,29.12449836730957,158.73480224609375,,,,,,,,,,,,,,,,,,,,,
12,192.1255288499815,1,1,0.8724202513694763,0.6652899980545044,0.6218513250350952,23.64621925354004,2d c++,127.73567962646484,72.60454559326172,20.80487632751465,23.64621925354004,27.452524185180668,,,,,,,,,,,,,,,,,,,,,
